xflr5 v6.42

 Calculated polar for: NACA 6508

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.090 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
  5.200, 1.0974, 0.03675, 0.02934,-0.1624,0.7477,1.0000,-1.6597, 0.0000, 0.3920
  5.300, 1.1172, 0.03621, 0.02888,-0.1631,0.7465,1.0000,-1.7607, 0.0000, 0.3899
  5.400, 1.1383, 0.03554, 0.02831,-0.1640,0.7455,1.0000,-1.8681, 0.0000, 0.3878
  5.600, 1.1439, 0.03656, 0.02948,-0.1617,0.7333,1.0000,-1.9542, 0.0000, 0.3848
  5.700, 1.1649, 0.03581, 0.02883,-0.1624,0.7321,1.0000,-2.0730, 0.0000, 0.3828
  5.800, 1.1879, 0.03490, 0.02804,-0.1634,0.7311,1.0000,-2.2086, 0.0000, 0.3808
  5.900, 1.2180, 0.03326, 0.02655,-0.1648,0.7296,1.0000,-2.3789, 0.0000, 0.3784
  6.000, 1.2045, 0.03470, 0.02800,-0.1616,0.7192,1.0000,-2.3620, 0.0000, 0.3771
  6.100, 1.2891, 0.02572, 0.01922,-0.1645,0.7032,1.0000,-2.8041, 0.0000, 0.3704
  6.200, 1.3076, 0.02415, 0.01771,-0.1637,0.6893,1.0000,-2.9372, 0.0000, 0.3678
  6.300, 1.3209, 0.02330, 0.01690,-0.1627,0.6765,1.0000,-3.0454, 0.0000, 0.3656
  6.400, 1.3331, 0.02265, 0.01630,-0.1618,0.6635,1.0000,-3.1477, 0.0000, 0.3637
  6.500, 1.3427, 0.02217, 0.01586,-0.1605,0.6485,1.0000,-3.2419, 0.0000, 0.3617
  6.600, 1.3502, 0.02183, 0.01555,-0.1590,0.6314,1.0000,-3.3339, 0.0000, 0.3598
  6.700, 1.3581, 0.02148, 0.01519,-0.1574,0.6104,1.0000,-3.4272, 0.0000, 0.3578
  6.800, 1.3611, 0.02139, 0.01508,-0.1552,0.5846,1.0000,-3.4942, 0.0000, 0.3557
  6.900, 1.3627, 0.02133, 0.01486,-0.1525,0.5461,1.0000,-3.5525, 0.0000, 0.3535
  7.000, 1.3593, 0.02160, 0.01482,-0.1491,0.4889,1.0000,-3.5837, 0.0000, 0.3511
  7.100, 1.3508, 0.02234, 0.01502,-0.1451,0.4109,1.0000,-3.5890, 0.0000, 0.3486
  7.200, 1.3393, 0.02338, 0.01552,-0.1411,0.3380,1.0000,-3.5817, 0.0000, 0.3464
  7.300, 1.3273, 0.02468, 0.01628,-0.1374,0.2679,1.0000,-3.5717, 0.0000, 0.3445
  7.400, 1.3158, 0.02616, 0.01722,-0.1341,0.2043,1.0000,-3.5612, 0.0000, 0.3427
  7.500, 1.3061, 0.02768, 0.01826,-0.1312,0.1597,1.0000,-3.5524, 0.0000, 0.3411
  7.600, 1.2995, 0.02901, 0.01930,-0.1286,0.1356,1.0000,-3.5512, 0.0000, 0.3395
  7.700, 1.2957, 0.03014, 0.02027,-0.1264,0.1216,1.0000,-3.5609, 0.0000, 0.3380
  7.800, 1.2928, 0.03118, 0.02120,-0.1245,0.1126,1.0000,-3.5793, 0.0000, 0.3366
  7.900, 1.2925, 0.03206, 0.02207,-0.1228,0.1045,1.0000,-3.6046, 0.0000, 0.3351
  8.000, 1.2909, 0.03302, 0.02296,-0.1211,0.0989,1.0000,-3.6326, 0.0000, 0.3338
  8.100, 1.2916, 0.03384, 0.02379,-0.1196,0.0934,1.0000,-3.6641, 0.0000, 0.3324
  8.200, 1.2928, 0.03463, 0.02457,-0.1182,0.0885,1.0000,-3.7026, 0.0000, 0.3312
  8.300, 1.2925, 0.03556, 0.02545,-0.1167,0.0851,1.0000,-3.7364, 0.0000, 0.3299
  8.400, 1.2944, 0.03645, 0.02636,-0.1153,0.0823,1.0000,-3.7690, 0.0000, 0.3285
  8.500, 1.2991, 0.03714, 0.02711,-0.1142,0.0793,1.0000,-3.8110, 0.0000, 0.3272
  8.600, 1.3044, 0.03787, 0.02784,-0.1132,0.0764,1.0000,-3.8580, 0.0000, 0.3259
  8.700, 1.3105, 0.03865, 0.02855,-0.1123,0.0735,1.0000,-3.9139, 0.0000, 0.3248
  8.800, 1.3239, 0.03978, 0.02950,-0.1122,0.0696,1.0000,-3.9896, 0.0000, 0.3237
  8.900, 1.3322, 0.04034, 0.03018,-0.1116,0.0670,1.0000,-4.0463, 0.0000, 0.3226
  9.000, 1.3431, 0.04104, 0.03092,-0.1113,0.0642,1.0000,-4.1122, 0.0000, 0.3215
  9.100, 1.3598, 0.04191, 0.03180,-0.1116,0.0619,1.0000,-4.1909, 0.0000, 0.3206
  9.200, 1.3848, 0.04319, 0.03302,-0.1132,0.0595,1.0000,-4.3004, 0.0000, 0.3201
  9.300, 1.4416, 0.04677, 0.03661,-0.1197,0.0563,1.0000,-4.5147, 0.0000, 0.3212
  9.400, 1.4483, 0.04753, 0.03755,-0.1188,0.0554,1.0000,-4.5686, 0.0000, 0.3201
  9.500, 1.4556, 0.04843, 0.03862,-0.1180,0.0542,1.0000,-4.6239, 0.0000, 0.3190
  9.600, 1.4641, 0.04950, 0.03987,-0.1174,0.0531,1.0000,-4.6805, 0.0000, 0.3180
  9.700, 1.4743, 0.05088, 0.04146,-0.1171,0.0524,1.0000,-4.7342, 0.0000, 0.3171
  9.800, 1.4845, 0.05244, 0.04321,-0.1168,0.0522,1.0000,-4.7780, 0.0000, 0.3162
  9.900, 1.4930, 0.05405, 0.04501,-0.1162,0.0522,1.0000,-4.8130, 0.0000, 0.3152
 10.000, 1.4999, 0.05569, 0.04684,-0.1154,0.0523,1.0000,-4.8400, 0.0000, 0.3142
 10.100, 1.5057, 0.05738, 0.04873,-0.1146,0.0525,1.0000,-4.8609, 0.0000, 0.3132
 10.200, 1.5104, 0.05911, 0.05065,-0.1136,0.0529,1.0000,-4.8766, 0.0000, 0.3121
 10.300, 1.5141, 0.06088, 0.05260,-0.1125,0.0533,1.0000,-4.8881, 0.0000, 0.3111
 10.400, 1.5169, 0.06269, 0.05459,-0.1113,0.0537,1.0000,-4.8969, 0.0000, 0.3101
 10.500, 1.5190, 0.06457, 0.05664,-0.1102,0.0543,1.0000,-4.9038, 0.0000, 0.3091
 10.600, 1.5209, 0.06657, 0.05878,-0.1090,0.0548,1.0000,-4.9099, 0.0000, 0.3081
 10.700, 1.5231, 0.06880, 0.06114,-0.1081,0.0554,1.0000,-4.9160, 0.0000, 0.3073
 10.800, 1.5264, 0.07149, 0.06395,-0.1074,0.0561,1.0000,-4.9227, 0.0000, 0.3066
 10.900, 1.5417, 0.07579, 0.06830,-0.1086,0.0574,1.0000,-4.9530, 0.0000, 0.3065
 11.000, 1.5399, 0.07611, 0.06877,-0.1066,0.0577,1.0000,-4.9659, 0.0000, 0.3051
 11.100, 1.5353, 0.07634, 0.06918,-0.1042,0.0582,1.0000,-4.9613, 0.0000, 0.3037
 11.200, 1.5112, 0.07579, 0.06901,-0.0991,0.0597,1.0000,-4.8540, 0.0000, 0.3013
 11.300, 1.4905, 0.07694, 0.07046,-0.0952,0.0614,1.0000,-4.7444, 0.0000, 0.2994
 11.400, 1.4790, 0.07871, 0.07242,-0.0928,0.0627,1.0000,-4.6844, 0.0000, 0.2982
 11.500, 1.4700, 0.08053, 0.07439,-0.0909,0.0638,1.0000,-4.6455, 0.0000, 0.2972
 11.600, 1.4615, 0.08233, 0.07632,-0.0893,0.0647,1.0000,-4.6152, 0.0000, 0.2963
 11.700, 1.4533, 0.08416, 0.07825,-0.0878,0.0655,1.0000,-4.5894, 0.0000, 0.2955
 11.800, 1.4460, 0.08607, 0.08026,-0.0865,0.0662,1.0000,-4.5680, 0.0000, 0.2948
 11.900, 1.4397, 0.08809, 0.08237,-0.0855,0.0670,1.0000,-4.5511, 0.0000, 0.2942
 12.000, 1.4357, 0.09037, 0.08471,-0.0847,0.0678,1.0000,-4.5412, 0.0000, 0.2937
 12.600, 1.3485, 0.10920, 0.10455,-0.0809,0.0959,1.0000,-3.9515, 0.0000, 0.2940
 12.700, 1.3346, 0.11147, 0.10690,-0.0811,0.0959,1.0000,-3.9111, 0.0000, 0.2947
 12.800, 1.3210, 0.11391, 0.10940,-0.0816,0.0958,1.0000,-3.8693, 0.0000, 0.2955
 12.900, 1.3077, 0.11652, 0.11207,-0.0824,0.0958,1.0000,-3.8257, 0.0000, 0.2966
 13.000, 1.2947, 0.11931, 0.11491,-0.0834,0.0958,1.0000,-3.7800, 0.0000, 0.2978
 13.100, 1.2818, 0.12227, 0.11792,-0.0846,0.0959,1.0000,-3.7316, 0.0000, 0.2993
 13.200, 1.2689, 0.12542, 0.12111,-0.0862,0.0959,1.0000,-3.6791, 0.0000, 0.3011
 13.300, 1.2558, 0.12879, 0.12448,-0.0881,0.0959,1.0000,-3.6213, 0.0000, 0.3032
 13.400, 1.2423, 0.13244, 0.12817,-0.0904,0.0959,1.0000,-3.5562, 0.0000, 0.3057
 13.500, 1.2283, 0.13649, 0.13225,-0.0932,0.0959,1.0000,-3.4808, 0.0000, 0.3087
 13.600, 1.2130, 0.14117, 0.13694,-0.0968,0.0957,1.0000,-3.3876, 0.0000, 0.3125
 13.700, 1.1943, 0.14730, 0.14308,-0.1021,0.0952,1.0000,-3.2510, 0.0000, 0.3182
 13.800, 1.0075, 0.11001, 0.10582,-0.0613,0.0629,1.0000,-3.4421, 0.0000, 0.2941
 13.900, 0.9905, 0.11357, 0.10944,-0.0635,0.0634,1.0000,-3.3435, 0.0000, 0.2973
 14.000, 0.9737, 0.11746, 0.11337,-0.0661,0.0641,1.0000,-3.2357, 0.0000, 0.3010
 14.100, 0.9576, 0.12158, 0.11752,-0.0688,0.0649,1.0000,-3.1215, 0.0000, 0.3050
 14.200, 0.9437, 0.12569, 0.12165,-0.0713,0.0660,1.0000,-3.0106, 0.0000, 0.3088
 14.300, 0.9348, 0.12908, 0.12504,-0.0732,0.0672,1.0000,-2.9328, 0.0000, 0.3115
 14.400, 0.9295, 0.13180, 0.12777,-0.0744,0.0680,1.0000,-2.8842, 0.0000, 0.3132
 14.500, 0.9274, 0.13392, 0.12989,-0.0750,0.0687,1.0000,-2.8633, 0.0000, 0.3139
 14.600, 0.9348, 0.13443, 0.13039,-0.0737,0.0696,1.0000,-2.9213, 0.0000, 0.3117
 14.700, 0.8425, 0.16640, 0.16225,-0.0975,0.1581,1.0000,-1.6160, 0.0000, 0.3505
 14.800, 0.8461, 0.16794, 0.16380,-0.0974,0.1572,1.0000,-1.6226, 0.0000, 0.3499
 14.900, 0.8530, 0.16963, 0.16550,-0.0970,0.1563,1.0000,-1.6491, 0.0000, 0.3483
 15.000, 0.8793, 0.17280, 0.16872,-0.0943,0.1548,1.0000,-1.7805, 0.0000, 0.3415
 15.100, 0.8642, 0.17394, 0.16983,-0.0965,0.1544,1.0000,-1.6967, 0.0000, 0.3459
 15.200, 0.8385, 0.17419, 0.17003,-0.0999,0.1523,1.0000,-1.5607, 0.0000, 0.3534
 15.300, 0.8317, 0.17522, 0.17104,-0.1011,0.1492,1.0000,-1.5234, 0.0000, 0.3558
 15.400, 0.8313, 0.17649, 0.17232,-0.1015,0.1469,1.0000,-1.5196, 0.0000, 0.3562
 15.500, 0.8338, 0.17776, 0.17359,-0.1015,0.1448,1.0000,-1.5324, 0.0000, 0.3558
 15.600, 0.8725, 0.18105, 0.17696,-0.0969,0.1402,1.0000,-1.7496, 0.0000, 0.3447
 15.700, 0.8607, 0.18209, 0.17797,-0.0989,0.1399,1.0000,-1.6780, 0.0000, 0.3485
 15.800, 0.8483, 0.18294, 0.17880,-0.1009,0.1392,1.0000,-1.6044, 0.0000, 0.3525
 15.900, 0.8366, 0.18361, 0.17945,-0.1027,0.1377,1.0000,-1.5364, 0.0000, 0.3563
 16.000, 0.8314, 0.18464, 0.18047,-0.1038,0.1349,1.0000,-1.5039, 0.0000, 0.3583
 16.100, 0.8320, 0.18577, 0.18161,-0.1041,0.1318,1.0000,-1.5073, 0.0000, 0.3584
 16.200, 0.8413, 0.18697, 0.18284,-0.1032,0.1284,1.0000,-1.5661, 0.0000, 0.3557
 16.900, 0.8348, 0.19642, 0.19230,-0.1073,0.1166,1.0000,-1.4902, 0.0000, 0.3608
 17.000, 0.8386, 0.19774, 0.19363,-0.1072,0.1149,1.0000,-1.5111, 0.0000, 0.3599
 17.100, 0.8472, 0.19947, 0.19539,-0.1064,0.1133,1.0000,-1.5604, 0.0000, 0.3575
 17.200, 0.8733, 0.20456, 0.20052,-0.1035,0.1116,1.0000,-1.7007, 0.0000, 0.3501
 17.300, 0.8632, 0.20498, 0.20091,-0.1054,0.1114,1.0000,-1.6325, 0.0000, 0.3536
 17.400, 0.8518, 0.20507, 0.20099,-0.1073,0.1109,1.0000,-1.5593, 0.0000, 0.3575
 17.500, 0.8413, 0.20529, 0.20119,-0.1093,0.1097,1.0000,-1.4886, 0.0000, 0.3613
 17.600, 0.8369, 0.20625, 0.20214,-0.1105,0.1076,1.0000,-1.4526, 0.0000, 0.3633
 17.700, 0.8363, 0.20748, 0.20338,-0.1111,0.1056,1.0000,-1.4412, 0.0000, 0.3641
 17.800, 0.8372, 0.20875, 0.20465,-0.1115,0.1037,1.0000,-1.4403, 0.0000, 0.3642
 17.900, 0.8392, 0.21002, 0.20593,-0.1117,0.1021,1.0000,-1.4480, 0.0000, 0.3640
 18.000, 0.8428, 0.21138, 0.20730,-0.1116,0.1006,1.0000,-1.4670, 0.0000, 0.3631
 18.100, 0.8501, 0.21316, 0.20910,-0.1109,0.0992,1.0000,-1.5098, 0.0000, 0.3610
 18.200, 0.8718, 0.21855, 0.21452,-0.1086,0.0975,1.0000,-1.6263, 0.0000, 0.3548
 18.300, 0.8643, 0.21889, 0.21485,-0.1101,0.0973,1.0000,-1.5708, 0.0000, 0.3575
 18.400, 0.8562, 0.21903, 0.21497,-0.1117,0.0969,1.0000,-1.5136, 0.0000, 0.3605
 18.500, 0.8486, 0.21931, 0.21524,-0.1133,0.0962,1.0000,-1.4557, 0.0000, 0.3635
 18.600, 0.8437, 0.22007, 0.21599,-0.1147,0.0947,1.0000,-1.4108, 0.0000, 0.3659
 18.700, 0.8423, 0.22122, 0.21714,-0.1156,0.0928,1.0000,-1.3906, 0.0000, 0.3669
 18.800, 0.8426, 0.22246, 0.21839,-0.1161,0.0908,1.0000,-1.3844, 0.0000, 0.3673
 18.900, 0.8442, 0.22370, 0.21963,-0.1163,0.0888,1.0000,-1.3892, 0.0000, 0.3672
 19.000, 0.8477, 0.22496, 0.22091,-0.1162,0.0869,1.0000,-1.4109, 0.0000, 0.3663
 19.900, 0.8503, 0.23761, 0.23357,-0.1210,0.0775,1.0000,-1.3233, 0.0000, 0.3702
 20.000, 0.8513, 0.23893, 0.23490,-0.1214,0.0763,1.0000,-1.3269, 0.0000, 0.3704
 20.100, 0.8526, 0.24025, 0.23623,-0.1217,0.0751,1.0000,-1.3352, 0.0000, 0.3703
 20.200, 0.8545, 0.24159, 0.23757,-0.1220,0.0739,1.0000,-1.3493, 0.0000, 0.3701
 20.300, 0.8572, 0.24299, 0.23899,-0.1220,0.0729,1.0000,-1.3717, 0.0000, 0.3695
 20.800, 0.8743, 0.25376, 0.24982,-0.1220,0.0699,1.0000,-1.4781, 0.0000, 0.3658
 20.900, 0.8700, 0.25405, 0.25010,-0.1232,0.0696,1.0000,-1.4355, 0.0000, 0.3677
 21.000, 0.8661, 0.25447, 0.25052,-0.1245,0.0693,1.0000,-1.3933, 0.0000, 0.3697


